playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
collipa01,1922,1,SLA,AL,63,127,14,39,6,0,8,23,0,1,21,21,,0,1,,
colliri01,1922,1,BOS,AL,33,76,2,12,3,0,0,4,0,0,1,35,,1,1,,
collish01,1922,1,BOS,AL,135,472,33,128,24,7,1,52,7,9,7,30,,5,20,,
connojo05,1922,1,CLE,AL,12,45,6,11,2,1,0,6,1,0,5,8,,0,1,,
coonejo01,1922,1,BSN,NL,4,8,0,0,0,0,0,0,0,0,0,1,,0,0,,
coopewi01,1922,1,PIT,NL,41,108,18,29,5,1,4,15,0,0,6,6,,0,3,,
cotteho01,1922,1,CHN,NL,1,1,0,1,1,0,0,0,0,0,0,0,,0,0,,
couchjo01,1922,1,CIN,NL,43,91,3,12,1,2,0,10,0,0,6,28,,0,3,,
courtha01,1922,1,WS1,AL,5,4,0,0,0,0,0,0,0,0,0,1,,0,0,,
courtha01,1922,2,CHA,AL,18,33,3,9,3,1,0,3,0,0,3,2,,0,0,,
covelst01,1922,1,CLE,AL,35,99,4,10,1,1,0,7,0,0,6,21,,1,2,,
coxer01,1922,1,CHA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cranesa02,1922,1,BRO,NL,3,8,1,2,1,0,0,0,0,0,0,1,,1,0,,
cruiswa01,1922,1,BSN,NL,104,352,51,98,15,10,4,46,4,4,44,20,,1,16,,
cunnibi02,1922,1,NY1,NL,85,229,37,75,15,2,2,33,4,5,7,9,,1,6,,
cutshge01,1922,1,DET,AL,132,499,57,133,14,8,2,61,11,5,20,13,,4,33,,
cuyleki01,1922,1,PIT,NL,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,,
cvengmi01,1922,1,NY1,NL,1,3,0,0,0,0,0,0,0,0,0,1,,0,0,,
danfoda01,1922,1,SLA,AL,20,23,1,2,0,0,0,0,0,0,1,6,,0,0,,
daubeja01,1922,1,CIN,NL,156,610,114,205,15,22,12,66,14,17,56,21,,3,31,,
daussho01,1922,1,DET,AL,39,72,4,15,3,0,1,7,0,0,8,20,,1,3,,
davenlu01,1922,1,CHA,AL,12,3,0,0,0,0,0,0,0,0,1,3,,0,0,,
